"objet,""id_objet"",""id_forum"",""Date"",""Heure"",""Titre"",""Texte"",""Auteur"",""Email"",""Statut""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""969385"",""19/07/2023"",""13:27"",""Oui la réduction de l'indemnisation des dégâts par les chasseurs"",""C'est ce que j'aurai aimé lire, car il n'est pas normal que les chasseurs indemnisent les agriculteurs ayant des dégâts ... Néanmoins, vis à vis des outils proposés, avis favorable"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""969613"",""19/07/2023"",""15:19"",""Projet de décret a la réduction et a l'indemnisation des dégâts de grand gibier"",""Favorable au projet de décret, mais il faut qu'il soit adapter a chaque département par un arrêté préfectoral."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970084"",""19/07/2023"",""21:13"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Totalement contre l'indemnisation à outrance des agriculteurs ainsi que pour l'autorisation de tirer le gibier sur des postes d'agrainage."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970144"",""19/07/2023"",""22:02"",""défavorable"",""Le gibier n'appartient a personne. En conséquence, les chasseurs n'ont pas a payer des éventuels dégâts de gibier qui vient de territoire non chassé. En l'état du texte, les chasseurs sont condamnés a payer même pour les territoires non chassé. Il revient a l'état au nom du principe d'égalité de chercher une source de financement vers les associations anti chasse, propriétaire terrien et collectivité qui refuse la chasse . Cela n'est pas acceptable"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970585"",""20/07/2023"",""10:45"",""Projet de décret relatif à la réduction et à l'indemnisation des dégâts"",""Je suis favorable à ce texte qui est conforme à l'accord signé avec le monde agricole"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970665"",""20/07/2023"",""11:34"","" Avec avis favorable pour le projet de décret relatif à la réduction et à l&#8217";indemnisation des dégâts de grand gibier et pour le projet d&#8217;arrêté du portant modification de l&#8217;"arrêté du 1er août 1986 relatif à divers procédés de chasse, de destruction des animaux nuisibles et à la reprise du gibier vivant dans un but de repeuplement"",""Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier ;  - Ils instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;agrainage dissuasif) ;  - Ils clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS) ;"   - Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national.  - Les départements où les chasseurs le demandent doivent pouvoir également utiliser la chevrotine pour améliorer la régulation des sangliers dans des territoires particuliers (maquis, zones péri urbaines), sans que cela mette en péril la sécurité à la chasse."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970691"",""20/07/2023"",""11:49"",""OUI"",""il est grand temps d&#8217";"arrêter d'indemniser à tous va les dégâts éventuels engendrés par le grand gibier. la France est un pays d'assistés! "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970697"",""20/07/2023"",""11:51"",""Favorable"",""Ce projet de décret est en conformité avec les accords signés le 1er mars 2023"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970717"",""20/07/2023"",""12:02"",""Défavorable "",""Défavorable, la chasse au sanglier est une course sans fin et n'a aucun sens. Ce qui limite leur nombre c'est l'accès à la nourriture. Comme tout animal quand il y a de la nourriture disponible en quantité il se reproduit d'autant. Créer des points de fixation avec de la nourriture et les cultures de maïs en lisière de forêt n'ont aucun sens. Je suis agriculteur et je cherche des moyens plus efficaces que la mort d'une population qui augmente par notre faute. Utiliser ma tête plutôt qu'un fusil."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970728"",""20/07/2023"",""12:11"",""avis favorable au projet d'arrêté"",""avis favorable au projet d'arrêté qui reprend les accords passés entre les structures chasses et les structures agricoles . Ils correspondent à la mise en place de la boite à outils définit conjointement entre ces structures et l'état."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
